Zbieranie Informacji|uzyskiwanje_inf
 narzędzia szukające słabego punktu|narzędzia vurn
 narzędzia exploitowe|exp_tools
 testowanie penetracyjne bezprzewodowo|wireless_pentr
 narzędzia "kryminalistyczne"|k_tools
 narzędzia do stron|narzędzia_web
 testowanie strees/penetracja|narzędzia_penetracyjne
 narzędzia do spoofing'u|narzędzia_do_sp
 łamanie haseł bruteforce|łamanie_bruteforce
 dostęp|dostęp
 narzędzia namierzające|narz_namierz
 języki programowania|języki_prog
 Ataki DDoS|ataki_ddos
 Strony Internetowe|strony_internetowe
